movieId,title,genres,poster_path
1,Toy Story 1995,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",https://image.tmdb.org/t/p/w500/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg
2,Jumanji 1995,"['Adventure', 'Children', 'Fantasy']",https://image.tmdb.org/t/p/w500/p67m5dzwyxWd46a6of2c9IVfQz7.jpg
3,Grumpier Old Men 1995,"['Comedy', 'Romance']",https://image.tmdb.org/t/p/w500/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg
4,Waiting to Exhale 1995,"['Comedy', 'Drama', 'Romance']",https://image.tmdb.org/t/p/w500/qJU6rfil5xLVb5HpJsmmfeSK254.jpg
5,Father of the Bride Part II 1995,['Comedy'],https://image.tmdb.org/t/p/w500/rj4LBtwQ0uGrpBnCELr716Qo3mw.jpg
6,Heat 1995,"['Action', 'Crime', 'Thriller']",https://image.tmdb.org/t/p/w500/umSVjVdbVwtx5ryCA2QXL44Durm.jpg
7,Sabrina 1995,"['Comedy', 'Romance']",https://image.tmdb.org/t/p/w500/i8PbLJDPU7vCwwscWD625oHbJy.jpg
8,Tom and Huck 1995,"['Adventure', 'Children']",https://image.tmdb.org/t/p/w500/bMY31ikEOIPOHqQwhPhII8UVBln.jpg
9,Sudden Death 1995,['Action'],https://image.tmdb.org/t/p/w500/1pylO6YX5XdOA6QCc5IRxrrffkg.jpg
10,GoldenEye 1995,"['Action', 'Adventure', 'Thriller']",https://image.tmdb.org/t/p/w500/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg
11,American President The 1995,"['Comedy', 'Drama', 'Romance']",https://image.tmdb.org/t/p/w500/yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg
12,Dracula Dead and Loving It 1995,"['Comedy', 'Horror']",https://image.tmdb.org/t/p/w500/fwdXQU3Dbs2CMHu8K87bAxlWV0t.jpg
13,Balto 1995,"['Adventure', 'Animation', 'Children']",https://image.tmdb.org/t/p/w500/dCVcdb5oxDizqFLz0F7TE60NoC9.jpg
14,Nixon 1995,['Drama'],https://image.tmdb.org/t/p/w500/8O2sBYJq0K0EMpw67cU1PjVJ7w3.jpg
15,Cutthroat Island 1995,"['Action', 'Adventure', 'Romance']",https://image.tmdb.org/t/p/w500/cDYa1i5UzXWztO5ZUp4azv7ycPs.jpg
16,Casino 1995,"['Crime', 'Drama']",https://image.tmdb.org/t/p/w500/gziIkUSnYuj9ChCi8qOu2ZunpSC.jpg
17,Sense and Sensibility 1995,"['Drama', 'Romance']",https://image.tmdb.org/t/p/w500/cBK2yL3HqhFvIVd7lLtazWlRZPR.jpg
18,Four Rooms 1995,['Comedy'],https://image.tmdb.org/t/p/w500/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg
19,Ace Ventura When Nature Calls 1995,['Comedy'],https://image.tmdb.org/t/p/w500/wcinCf1ov2D6M3P7BBZkzQFOiIb.jpg
20,Money Train 1995,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']",https://image.tmdb.org/t/p/w500/jWBDz6Mf9aQVBiUS76JQsEhvoJl.jpg
21,Get Shorty 1995,"['Comedy', 'Crime', 'Thriller']",https://image.tmdb.org/t/p/w500/r82SdPhg4fnIcLt0ogIjQxqjdcO.jpg
22,Copycat 1995,"['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']",https://image.tmdb.org/t/p/w500/oMgwJb016znNZcpDR20eXxZoW8A.jpg
23,Assassins 1995,"['Action', 'Crime', 'Thriller']",https://image.tmdb.org/t/p/w500/wPmZYnaQpxwoHmwNwVhZ2IY0UbF.jpg
24,Powder 1995,"['Drama', 'Sci-Fi']",https://image.tmdb.org/t/p/w500/kImKATjY4EsK5MDgrmpJdGbQEbq.jpg
25,Leaving Las Vegas 1995,"['Drama', 'Romance']",https://image.tmdb.org/t/p/w500/wTrFpGe3U65kXTldIUxuM2hmOAK.jpg
26,Othello 1995,['Drama'],https://image.tmdb.org/t/p/w500/kyevuYzW36wKadiE8lftLac5VwQ.jpg
27,Now and Then 1995,"['Children', 'Drama']",https://image.tmdb.org/t/p/w500/q31Ks8oAmM4Nq2CcGjyYYpdBAmh.jpg
28,Persuasion 1995,"['Drama', 'Romance']",https://image.tmdb.org/t/p/w500/10hycdhFLq3M3y0ONxIMSiY8Mrs.jpg
29,City of Lost Children The Cit des enfants perdus La 1995,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",https://image.tmdb.org/t/p/w500/whwT3Q9JxbAYzEc3t7uYYcCbTMf.jpg
30,Shanghai Triad Yao a yao yao dao waipo qiao 1995,"['Crime', 'Drama']",https://image.tmdb.org/t/p/w500/tzG1UxUSfPACREjgBrsPDRUvneH.jpg
31,Dangerous Minds 1995,['Drama'],https://image.tmdb.org/t/p/w500/yWHWC8fJRp2kLgiFrEa8o3krOH9.jpg
32,Twelve Monkeys aka 12 Monkeys 1995,"['Mystery', 'Sci-Fi', 'Thriller']",https://image.tmdb.org/t/p/w500/gt3iyguaCIw8DpQZI1LIN5TohM2.jpg
34,Babe 1995,"['Children', 'Drama']",https://image.tmdb.org/t/p/w500/zKuQMtnbVTz9DsOnOJmlW71v4qH.jpg
36,Dead Man Walking 1995,"['Crime', 'Drama']",https://image.tmdb.org/t/p/w500/eShxyjhWoFl3BwsuEmVsr4nLaMZ.jpg
38,It Takes Two 1995,"['Children', 'Comedy']",https://image.tmdb.org/t/p/w500/4CptjFLiIJXtjc3dykS7vkEHMbw.jpg
39,Clueless 1995,"['Comedy', 'Romance']",https://image.tmdb.org/t/p/w500/8AwVTcgpTnmeOs4TdTWqcFDXEsA.jpg
40,Cry the Beloved Country 1995,['Drama'],https://image.tmdb.org/t/p/w500/96TZr6o4kuiIEryC5jkzaQoP6m5.jpg
41,Richard III 1995,"['Drama', 'War']",https://image.tmdb.org/t/p/w500/aN2BcIH6rvGbYiRQCS8lxOdeeVQ.jpg
42,Dead Presidents 1995,"['Action', 'Crime', 'Drama']",https://image.tmdb.org/t/p/w500/wRLepMZoUCwjLFb1WSbuUT6uVWR.jpg
43,Restoration 1995,['Drama'],https://image.tmdb.org/t/p/w500/z1YM3WFZnF2NwHT5IRGYUcvZBSl.jpg
44,Mortal Kombat 1995,"['Action', 'Adventure', 'Fantasy']",https://image.tmdb.org/t/p/w500/fcK7tzSSXMYiMN8E9KlZJL1BYyp.jpg
45,To Die For 1995,"['Comedy', 'Drama', 'Thriller']",https://image.tmdb.org/t/p/w500/whz4bwvqE1OmQHIyqHdZD8jU9CO.jpg
46,How to Make an American Quilt 1995,"['Drama', 'Romance']",https://image.tmdb.org/t/p/w500/pI9UAemlWgdrnjRgYJsbTk8BSJc.jpg
47,Seven aka Se7en 1995,"['Mystery', 'Thriller']",https://image.tmdb.org/t/p/w500/191nKfP0ehp3uIvWqgPbFmI4lv9.jpg
48,Pocahontas 1995,"['Animation', 'Children', 'Drama', 'Musical', 'Romance']",https://image.tmdb.org/t/p/w500/kZ1ft0QZ4e3zDUPMBftEkwI9ftd.jpg
49,When Night Is Falling 1995,"['Drama', 'Romance']",https://image.tmdb.org/t/p/w500/6Ac5GLwJ01uli5mCXqXwquR36Y1.jpg
50,Usual Suspects The 1995,"['Crime', 'Mystery', 'Thriller']",https://image.tmdb.org/t/p/w500/rWbsxdwF9qQzpTPCLmDfVnVqTK1.jpg
52,Mighty Aphrodite 1995,"['Comedy', 'Drama', 'Romance']",https://image.tmdb.org/t/p/w500/ice135yQZp4iX2SgCmd90nKgS5j.jpg
